id,fr_text,en_text,difficulty,tags,created_at,updated_at
684676d4-9e1b-45ae-9dda-ad8cbd95fc86,"Bonjour, comment ça va ?","Hello, how are you?",easy,salutation,2025-10-19T20:05:01,2025-10-19T20:05:01
d2746472-1504-4e9d-8317-1a927e5a1e48,Je m'appelle Marie.,My name is Marie.,easy,présentation,2025-10-19T20:05:01,2025-10-19T20:05:01
d77508bf-dffa-4838-9d68-372f489251a2,J'habite à Lyon.,I live in Lyon.,easy,ville,2025-10-19T20:05:01,2025-10-19T20:05:01
09970ccd-f625-4f9c-bf16-2c247781b549,"Je voudrais un café, s'il vous plaît.","I'd like a coffee, please.",easy,"restaurant,commande",2025-10-19T20:05:01,2025-10-19T20:05:01
6107f3fa-7687-4d5e-8fa8-86082978cdf3,Il fait beau aujourd'hui.,The weather is nice today.,easy,météo,2025-10-19T20:05:01,2025-10-19T20:05:01
5d615dc7-6ab6-4d84-baa8-941f192c37e0,Où est la gare ?,Where is the train station?,easy,"transport,direction",2025-10-19T20:05:01,2025-10-19T20:05:01
6f2469f6-7a88-4f8f-9d57-3304eba4da34,Je suis heureux de te voir.,I'm happy to see you.,easy,émotion,2025-10-19T20:05:01,2025-10-19T20:05:01
8bc0e4a4-0997-46cf-8436-88624e05494a,Quel âge as-tu ?,How old are you?,easy,conversation,2025-10-19T20:05:01,2025-10-19T20:05:01
7d72deef-9797-48c5-a984-ac59fd2fc9cb,Je travaille demain matin.,I work tomorrow morning.,easy,"temps,travail",2025-10-19T20:05:01,2025-10-19T20:05:01
39c74cfe-4bca-4763-8deb-994025833341,Nous partons en vacances.,We're leaving on vacation.,easy,voyage,2025-10-19T20:05:01,2025-10-19T20:05:01
f4b34878-af6e-4e32-945e-f1772b706718,J'aime écouter de la musique.,I like listening to music.,easy,loisir,2025-10-19T20:05:01,2025-10-19T20:05:01
f123ab62-2a8d-400b-9a34-2a0a5c194115,"Peux-tu répéter, s'il te plaît ?","Can you repeat, please?",easy,conversation,2025-10-19T20:05:01,2025-10-19T20:05:01
73e3352a-a027-401f-9abf-6f4354546787,Le train arrive à midi.,The train arrives at noon.,easy,transport,2025-10-19T20:05:01,2025-10-19T20:05:01
350a909f-9aba-4fb4-bff5-ee53e4c4c35c,Je prends le bus pour l'école.,I take the bus to school.,easy,"transport,école",2025-10-19T20:05:01,2025-10-19T20:05:01
db5f1dbe-5d51-43c7-ac4e-0e82d962f461,Elle lit un nouveau livre.,She is reading a new book.,easy,lecture,2025-10-19T20:05:01,2025-10-19T20:05:01
dac0e7e4-a768-4930-9de3-45a96103d666,Nous avons un chien.,We have a dog.,easy,famille,2025-10-19T20:05:01,2025-10-19T20:05:01
ea9e8bfc-033f-418f-84dd-51b450010383,Je prépare le dîner.,I'm preparing dinner.,easy,cuisine,2025-10-19T20:05:01,2025-10-19T20:05:01
acd03831-1563-4eb2-b7af-9146c6c15d0f,Il pleut cet après-midi.,It's raining this afternoon.,easy,météo,2025-10-19T20:05:01,2025-10-19T20:05:01
14d35fae-4e36-4413-abfc-b1fed35d565a,Je vais au marché.,I'm going to the market.,easy,courses,2025-10-19T20:05:01,2025-10-19T20:05:01
ff51308e-5ce9-4a4c-bba7-6bb4348341e0,Merci pour votre aide.,Thank you for your help.,easy,politesse,2025-10-19T20:05:01,2025-10-19T20:05:01
141f4a3d-fbf3-495b-a7ac-fccc44880806,Je dois acheter des légumes frais pour la soupe.,I need to buy fresh vegetables for the soup.,medium,"courses,cuisine",2025-10-19T20:05:01,2025-10-19T20:05:01
f159bbe6-893c-431c-a6d8-5535f21e8133,Ils attendent leurs amis devant le cinéma.,They are waiting for their friends in front of the cinema.,medium,"rendez-vous,loisir",2025-10-19T20:05:01,2025-10-19T20:05:01
e79bb271-c175-49f9-8797-ac8ad882fd75,Nous avons réservé une table pour quatre personnes.,We reserved a table for four people.,medium,restaurant,2025-10-19T20:05:01,2025-10-19T20:05:01
525e80fc-54f6-4e64-882d-07f399bf79f3,Le médecin m'a conseillé de faire plus d'exercice.,The doctor advised me to exercise more.,medium,santé,2025-10-19T20:05:01,2025-10-19T20:05:01
486ee717-ab73-4359-8f6c-7d57b9f58cf7,Peux-tu me prêter ta voiture ce week-end ?,Can you lend me your car this weekend?,medium,"favori,transport",2025-10-19T20:05:01,2025-10-19T20:05:01
884c9cfe-c650-4654-ac62-dba4f9aad5a2,Je cherche un cadeau original pour l'anniversaire de ma sœur.,I'm looking for an original gift for my sister's birthday.,medium,"famille,shopping",2025-10-19T20:05:01,2025-10-19T20:05:01
34b2d416-e7fd-49fe-af79-382de9992840,Nous avons visité un musée d'art contemporain.,We visited a contemporary art museum.,medium,culture,2025-10-19T20:05:01,2025-10-19T20:05:01
a551deb8-c437-43e4-8ced-2e4fb6c0c0c8,Ils habitent dans un petit village près de la mer.,They live in a small village near the sea.,medium,"ville,géographie",2025-10-19T20:05:01,2025-10-19T20:05:01
07254d30-2375-47b5-b70c-b95ac25b943e,Je dois terminer ce rapport avant vendredi soir.,I must finish this report before Friday evening.,medium,travail,2025-10-19T20:05:01,2025-10-19T20:05:01
5adf79d1-f0b7-4c7d-9993-f503634f7c42,Le train a été retardé à cause du mauvais temps.,The train was delayed because of the bad weather.,medium,"transport,météo",2025-10-19T20:05:01,2025-10-19T20:05:01
6cdea264-0242-4799-8928-99af0a573858,Nous avons adopté un chat noir l'automne dernier.,We adopted a black cat last autumn.,medium,animaux,2025-10-19T20:05:01,2025-10-19T20:05:01
5f145cee-c027-4db1-b364-18837777cec3,Ils organisent une fête surprise pour leur ami.,They're organizing a surprise party for their friend.,medium,événement,2025-10-19T20:05:01,2025-10-19T20:05:01
18d0c67e-8154-4660-9c37-f1627931ebde,J'apprends le français depuis six mois.,I've been learning French for six months.,medium,langue,2025-10-19T20:05:01,2025-10-19T20:05:01
e4120be2-995a-4078-b11d-fd97c8170363,Elle joue du piano depuis son enfance.,She has played the piano since childhood.,medium,musique,2025-10-19T20:05:01,2025-10-19T20:05:01
a11d7c7c-2beb-4345-bfdd-e13cafa3cfc6,Le professeur a expliqué la leçon avec patience.,The teacher explained the lesson patiently.,medium,éducation,2025-10-19T20:05:01,2025-10-19T20:05:01
64722fb8-7e8e-4932-a37e-4734ca12c5c8,Nous avons fait une randonnée dans les Alpes.,We went for a hike in the Alps.,medium,"voyage,nature",2025-10-19T20:05:01,2025-10-19T20:05:01
